Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYearExperience,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,TenureRatio,YearsSincePromotionRatio,IncomePerYear,IncomeToAge,WorkLifeScore
35,0,809,16,3,1,84,4,1,2,2426.0,16479,0.0,13,3,3,1.0,6.0,5.0,3,5.0,4.0,0.0,3.0,404.3333333333333,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.8333333333333334,0.0,29112.0,69.31428571428572,6
29,0,153,15,2,4,49,2,2,3,4193.0,12682,0.0,12,3,4,0.0,10.0,3.0,3,9.0,5.0,0.0,8.0,419.3,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,0.9,0.0,50316.0,144.58620689655172,9
31,0,670,26,1,1,31,3,1,3,2911.0,15170,1.0,17,3,4,1.0,5.0,1.0,2,5.0,2.0,4.0,3.0,582.2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1.0,0.8,34932.0,93.90322580645162,6
34,0,1346,19,2,2,93,3,1,4,2661.0,8758,0.0,11,3,3,1.0,3.0,2.0,3,2.0,2.0,1.0,2.0,887.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0.6666666666666666,0.5,31932.0,78.26470588235294,12
28,1,103,24,3,3,50,2,1,3,2028.0,12947,5.0,14,3,2,0.0,6.0,4.0,3,4.0,2.0,0.0,3.0,338.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,0.6666666666666666,0.0,24336.0,72.42857142857143,9
29,0,1389,21,4,2,51,4,3,1,9980.0,10195,1.0,11,3,3,1.0,10.0,1.0,3,10.0,9.0,8.0,8.0,998.0,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0,0.8,119760.0,344.13793103448273,3
32,0,334,5,2,1,80,4,1,2,3298.0,15053,0.0,12,3,4,2.0,7.0,5.0,2,6.0,2.0,0.0,5.0,471.14285714285717,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.8571428571428571,0.0,39576.0,103.0625,4
22,0,1123,16,2,4,96,4,1,4,2935.0,7324,1.0,13,3,2,2.0,1.0,2.0,2,1.0,0.0,0.0,0.0,2935.0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,1.0,0.0,35220.0,133.4090909090909,8
53,0,1219,2,4,1,78,2,4,4,15427.0,22021,2.0,16,3,3,0.0,31.0,3.0,3,25.0,8.0,3.0,7.0,497.64516129032256,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.8064516129032258,0.12,185124.0,291.07547169811323,12
38,0,371,2,3,4,45,3,1,4,3944.0,4306,5.0,11,3,3,0.0,6.0,3.0,3,3.0,2.0,1.0,2.0,657.3333333333334,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,0.5,0.3333333333333333,47328.0,103.78947368421052,12
24,0,673,11,2,1,96,4,2,3,4011.0,8232,0.0,18,3,4,1.0,5.0,5.0,2,4.0,2.0,1.0,3.0,802.2,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8,0.25,48132.0,167.125,6
36,1,1218,9,4,3,82,2,1,1,3407.0,6986,7.0,23,4,2,0.0,10.0,4.0,3,5.0,3.0,0.0,3.0,340.7,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0.5,0.0,40884.0,94.63888888888889,3
34,0,419,7,4,1,53,3,3,2,11994.0,21293,0.0,11,3,3,0.0,13.0,4.0,3,12.0,6.0,2.0,11.0,922.6153846153846,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.9230769230769231,0.16666666666666666,143928.0,352.7647058823529,6
21,0,391,15,2,3,96,3,1,4,1232.0,19281,1.0,14,3,4,0.0,0.0,6.0,3,0.0,0.0,0.0,0.0,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.0,0.0,14784.0,58.666666666666664,12
34,1,699,6,1,2,83,3,1,1,2960.0,17102,2.0,11,3,3,0.0,8.0,2.0,3,4.0,2.0,1.0,3.0,370.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.5,0.25,35520.0,87.05882352941177,3
53,0,1282,5,3,3,58,3,5,3,19094.0,10735,4.0,11,3,4,1.0,26.0,3.0,2,14.0,13.0,4.0,8.0,734.3846153846154,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5384615384615384,0.2857142857142857,229128.0,360.2641509433962,6
32,1,1125,16,1,2,72,1,1,1,3919.0,4681,1.0,22,4,2,0.0,10.0,5.0,3,10.0,2.0,6.0,7.0,391.9,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,1.0,0.6,47028.0,122.46875,3
42,0,691,8,4,3,48,3,2,2,6825.0,21173,0.0,11,3,4,1.0,10.0,2.0,3,9.0,7.0,4.0,2.0,682.5,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.9,0.4444444444444444,81900.0,162.5,6
44,0,477,7,4,1,42,2,3,4,10248.0,2094,3.0,14,3,4,1.0,24.0,4.0,3,22.0,6.0,5.0,14.827537613321994,427.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.9166666666666666,0.22727272727272727,122976.0,232.9090909090909,12
46,0,705,2,4,2,83,3,5,1,18947.0,22822,3.0,12,3,4,0.0,22.0,2.0,2,2.0,2.0,2.0,1.0,861.2272727272727,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.09090909090909091,1.0,227364.0,411.89130434782606,2
33,0,924,2,3,3,78,3,1,4,2496.0,6670,4.0,11,3,4,0.0,7.0,3.0,3,1.0,1.0,0.0,0.0,356.57142857142856,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.14285714285714285,0.0,29952.0,75.63636363636364,12
44,0,1459,10,4,4,41,3,2,4,6465.0,19121,2.0,13,3,4,0.0,9.0,5.0,4,4.0,2.0,1.0,3.0,718.3333333333334,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,0.4444444444444444,0.25,77580.0,146.9318181818182,16
30,0,125,9,2,4,83,2,1,3,2206.0,16117,1.0,13,3,1,0.0,10.0,5.0,3,10.0,0.0,1.0,8.0,220.6,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,1.0,0.1,26472.0,73.53333333333333,9
39,1,895,5,3,4,56,3,2,4,2086.0,3335,3.0,14,3,3,1.0,19.0,6.0,4,1.0,0.0,0.0,0.0,109.78947368421052,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,0.05263157894736842,0.0,25032.0,53.48717948717949,16
24,1,813,1,3,2,61,3,1,4,2293.0,3020,2.0,16,3,1,1.0,6.0,2.0,2,2.0,0.0,2.0,0.0,382.1666666666667,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,0.3333333333333333,1.0,27516.0,95.54166666666667,8
43,0,1273,2,2,4,72,4,1,3,2645.0,21923,1.0,12,3,4,2.0,6.0,3.0,2,5.0,3.0,1.0,4.0,440.8333333333333,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8333333333333334,0.2,31740.0,61.51162790697674,6
50,1,869,3,2,1,86,2,1,3,2683.0,3810,1.0,14,3,3,0.0,3.0,2.0,3,3.0,2.0,0.0,2.0,894.3333333333334,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,1.0,0.0,32196.0,53.66,9
35,0,890,2,3,4,97,3,1,4,2014.0,9687,1.0,13,3,1,0.0,2.0,3.0,3,2.0,2.0,2.0,2.0,1007.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1.0,1.0,24168.0,57.542857142857144,12
36,0,852,5,4,2,82,2,1,1,3419.0,13072,9.0,14,3,4,1.0,6.0,3.0,4,1.0,1.0,0.0,0.0,569.8333333333334,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,0.16666666666666666,0.0,41028.0,94.97222222222223,4
33,0,1141,1,3,3,42,4,2,1,5376.0,3193,2.0,19,3,1,2.0,10.0,3.0,3,5.0,3.0,1.0,3.0,537.6,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.5,0.2,64512.0,162.9090909090909,3
35,0,464,4,2,3,75,3,1,4,1951.0,10910,1.0,12,3,3,1.0,1.0,3.0,3,1.0,0.0,0.0,0.0,1951.0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,1.0,0.0,23412.0,55.74285714285714,12
27,0,1240,2,4,4,33,3,1,1,2341.0,19715,1.0,13,3,4,1.0,1.0,6.0,3,1.0,0.0,0.0,0.0,2341.0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.0,0.0,28092.0,86.70370370370371,3
26,1,1357,25,3,1,48,1,1,3,2293.0,10558,1.0,12,3,3,0.0,1.0,2.0,2,1.0,0.0,0.0,1.0,2293.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,1.0,0.0,27516.0,88.1923076923077,6
27,0,994,8,3,4,37,3,3,3,8726.0,2975,1.0,15,3,4,0.0,9.0,0.0,3,9.0,8.0,1.0,7.0,969.5555555555555,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1.0,0.1111111111111111,104712.0,323.18518518518516,9
30,0,721,1,2,3,58,3,2,4,4011.0,10781,1.0,23,4,4,0.0,12.0,2.0,3,12.0,8.0,3.0,7.0,334.25,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0,0.25,48132.0,133.7,12
41,1,1360,12,3,2,49,3,5,3,19545.0,16280,1.0,12,3,4,0.0,23.0,0.0,3,22.0,15.0,11.855045939454717,8.0,849.7826086956521,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0.9565217391304348,0.5388657245206689,234540.0,476.7073170731707,9
34,0,1065,23,4,2,72,3,2,3,4568.0,10034,0.0,20,4,3,0.0,10.0,2.0,3,9.0,5.0,8.0,7.0,456.8,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.9,0.8888888888888888,54816.0,134.35294117647058,9
37,0,408,19,2,2,73,3,1,2,3022.0,10227,4.0,21,4,1,0.0,8.0,1.0,3,1.0,0.0,0.0,0.0,377.75,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.125,0.0,36264.0,81.67567567567568,6
46,0,1211,5,4,1,98,3,2,4,5772.0,20445,4.0,21,4,3,0.0,14.0,4.0,3,9.0,6.0,0.0,8.0,412.2857142857143,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,0.6428571428571429,0.0,69264.0,125.47826086956522,12
35,0,1229,8,1,4,36,4,1,4,2269.0,4892,1.0,19,3,4,0.0,1.0,2.0,3,1.0,0.0,0.0,1.0,2269.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,1.0,0.0,27228.0,64.82857142857142,12
48,1,626,1,2,1,98,2,3,3,5381.0,19294,9.0,13,3,4,0.0,23.0,2.0,3,1.0,0.0,0.0,0.0,233.95652173913044,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,0.043478260869565216,0.0,64572.0,112.10416666666667,9
28,1,1434,5,4,3,50,3,1,3,3441.0,11179,1.0,13,3,3,0.0,2.0,3.0,2,2.0,2.0,2.0,2.0,1720.5,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,1.0,1.0,41292.0,122.89285714285714,6
44,0,1488,1,5,2,75,3,2,1,5454.0,4009,5.0,21,4,3,1.0,9.0,2.0,2,4.0,3.0,1.0,3.0,606.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.4444444444444444,0.25,65448.0,123.95454545454545,2
35,0,1097,11,2,3,79,2,3,1,9884.0,8302,2.0,13,3,3,1.0,10.0,3.0,3,4.0,0.0,2.0,3.0,988.4,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,0.4,0.5,118608.0,282.4,3
26,0,1443,23,3,3,47,2,2,4,4157.0,21436,7.0,19,3,3,1.0,5.0,2.0,2,2.0,2.0,0.0,0.0,831.4,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,0.4,0.0,49884.0,159.8846153846154,8
33,0,515,1,2,1,98,3,3,4,13458.0,15146,1.0,12,3,3,0.0,15.0,1.0,3,15.0,14.0,8.0,12.0,897.2,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,1.0,0.5333333333333333,161496.0,407.8181818181818,12
35,0,853,18,5,2,71,3,3,1,9069.0,11031,1.0,22,4,4,1.0,9.0,3.0,2,9.0,8.0,1.0,8.0,1007.6666666666666,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,1.0,0.1111111111111111,108828.0,259.1142857142857,2
35,0,1142,23,4,3,30,3,1,1,4014.0,16002,3.0,15,3,3,1.0,4.0,3.0,3,2.0,2.0,2.0,2.0,1003.5,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,0.5,1.0,48168.0,114.68571428571428,3
31,0,655,7,4,4,48,3,2,4,5915.0,9528,3.0,22,4,4,1.0,10.0,3.0,2,7.0,7.0,1.0,7.0,591.5,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0.7,0.14285714285714285,70980.0,190.80645161290323,8
37,0,1115,1,4,1,51,2,2,3,5993.0,2689,1.0,18,3,3,1.0,7.0,2.0,4,7.0,5.0,0.0,7.0,856.1428571428571,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1.0,0.0,71916.0,161.97297297297297,12
32,0,427,1,3,1,33,3,2,4,6162.0,10877,1.0,22,4,2,1.0,9.0,3.0,3,9.0,8.0,7.0,8.0,684.6666666666666,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,1.0,0.7777777777777778,73944.0,192.5625,12
38,0,653,29,5,4,50,3,2,4,2406.0,5456,1.0,11,3,4,0.0,10.0,2.0,3,10.0,3.0,9.0,9.0,240.6,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0,0.9,28872.0,63.31578947368421,12
50,0,989,7,2,2,43,2,5,3,18740.0,16701,5.0,12,3,4,1.0,29.0,2.0,2,25.38773872251683,3.0,11.855045939454717,8.0,646.2068965517242,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.8754392662936837,0.466959506280891,224880.0,374.8,6
59,0,1435,25,3,1,99,3,3,1,7637.0,2354,7.0,11,3,4,0.0,28.0,3.0,2,21.0,15.098662804692157,7.0,9.0,272.75,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.75,0.3333333333333333,91644.0,129.4406779661017,2
36,0,1223,8,3,3,59,3,3,3,10096.0,8202,1.0,13,3,2,3.0,17.0,2.0,3,17.0,14.0,11.855045939454717,8.0,593.8823529411765,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.6973556434973363,121152.0,280.44444444444446,9
55,0,836,8,3,4,33,3,4,3,14756.0,19730,2.0,14,3,3,3.0,21.0,2.0,3,5.0,0.0,0.0,2.0,702.6666666666666,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.23809523809523808,0.0,177072.0,268.2909090909091,9
36,0,1195,11,3,2,95,2,2,2,6499.0,22656,1.0,13,3,3,0.0,6.0,3.0,3,6.0,5.0,0.0,3.0,1083.1666666666667,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1.0,0.0,77988.0,180.52777777777777,6
45,0,1339,7,3,2,59,3,3,1,9724.0,18787,2.0,17,3,3,1.0,25.0,2.0,3,1.0,0.0,0.0,0.0,388.96,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.04,0.0,116688.0,216.0888888888889,3
35,0,664,1,3,2,79,3,1,1,2194.0,5868,4.0,13,3,4,1.0,5.0,2.0,2,3.0,2.0,1.0,2.0,438.8,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.6,0.3333333333333333,26328.0,62.68571428571428,2
36,1,318,9,3,4,79,2,1,3,3388.0,21777,0.0,17,3,1,1.0,2.0,0.0,2,1.0,0.0,0.0,0.0,1694.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,0.5,0.0,40656.0,94.11111111111111,6
59,0,1225,1,1,1,57,2,2,3,5473.0,24668,7.0,11,3,4,0.0,20.0,2.0,2,4.0,3.0,1.0,3.0,273.65,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.2,0.25,65676.0,92.76271186440678,6
29,0,1328,2,3,3,76,3,1,2,2703.0,4956,0.0,23,4,4,1.0,6.0,3.0,3,5.0,4.0,0.0,4.0,450.5,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.8333333333333334,0.0,32436.0,93.20689655172414,6
31,0,1082,1,4,3,87,3,1,2,2501.0,18775,1.0,17,3,2,0.0,1.0,4.0,3,1.0,1.0,1.0,0.0,2501.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1.0,1.0,30012.0,80.6774193548387,6
32,0,548,1,3,2,66,3,2,2,6220.0,7346,1.0,17,3,2,2.0,10.0,3.0,3,10.0,4.0,0.0,9.0,622.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,1.0,0.0,74640.0,194.375,6
36,0,132,6,3,2,55,4,1,4,3038.0,22002,3.0,12,3,2,0.0,5.0,3.0,3,1.0,0.0,0.0,0.0,607.6,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.2,0.0,36456.0,84.38888888888889,12
31,0,746,8,4,3,61,3,2,4,4424.0,20682,1.0,23,4,4,0.0,11.0,2.0,3,11.0,7.0,1.0,8.0,402.1818181818182,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1.0,0.09090909090909091,53088.0,142.70967741935485,12
35,0,776,1,4,3,32,2,2,1,4312.0,23016,0.0,14,3,2,0.0,16.0,2.0,3,15.0,13.0,2.0,8.0,269.5,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.9375,0.13333333333333333,51744.0,123.2,3
45,0,193,6,4,4,52,3,3,1,13245.0,15067,4.0,14,3,2,0.0,17.0,3.0,4,0.0,0.0,0.0,0.0,779.1176470588235,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,0.0,0.0,158940.0,294.3333333333333,4
37,0,397,7,4,1,30,3,3,3,13664.0,25258,4.0,13,3,1,0.0,16.0,3.0,4,5.0,2.0,0.0,2.0,854.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,0.3125,0.0,163968.0,369.2972972972973,12
46,0,945,5,2,2,80,3,2,2,5021.0,10425,8.0,22,4,4,1.0,16.0,2.0,3,4.0,2.0,0.0,2.0,313.8125,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0.25,0.0,60252.0,109.15217391304348,6
30,0,852,1,1,4,55,2,2,4,5126.0,15998,1.0,12,3,3,2.0,10.0,1.0,2,10.0,8.0,3.0,0.0,512.6,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,1.0,0.3,61512.0,170.86666666666667,8
35,0,1214,1,3,2,30,2,1,3,2859.0,26278,1.0,18,3,1,0.0,6.0,3.0,3,6.0,4.0,0.0,4.0,476.5,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1.0,0.0,34308.0,81.68571428571428,9
55,0,111,1,2,1,70,3,3,4,10239.0,18092,3.0,14,3,4,1.0,24.0,4.0,3,1.0,0.0,1.0,0.0,426.625,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.041666666666666664,1.0,122868.0,186.16363636363636,12
38,0,573,6,3,2,79,1,2,4,5329.0,15717,7.0,12,3,4,3.0,17.0,3.0,3,13.0,11.0,1.0,9.0,313.47058823529414,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.7647058823529411,0.07692307692307693,63948.0,140.23684210526315,12
34,0,1153,1,2,1,94,3,2,2,4325.0,17736,1.0,15,3,3,0.0,5.0,2.0,3,5.0,2.0,1.0,3.0,865.0,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,1.0,0.2,51900.0,127.20588235294117,6
56,0,1400,7,3,4,49,1,3,4,7260.0,21698,4.0,11,3,1,0.0,34.621936863279686,3.0,2,6.0,4.0,0.0,2.0,209.69364101925842,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.17330052976798216,0.0,87120.0,129.64285714285714,8
23,0,541,2,1,3,62,3,1,1,2322.0,9518,3.0,13,3,3,1.0,3.0,3.0,3,0.0,0.0,0.0,0.0,774.0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,27864.0,100.95652173913044,3
51,0,432,9,4,4,96,3,1,4,2075.0,18725,3.0,23,4,2,2.0,10.0,4.0,3,4.0,2.0,0.0,3.0,207.5,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.4,0.0,24900.0,40.68627450980392,12
30,0,288,2,3,3,99,2,2,4,4152.0,15830,1.0,19,3,1,3.0,11.0,3.0,3,11.0,10.0,10.0,8.0,377.45454545454544,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1.0,0.9090909090909091,49824.0,138.4,12
46,1,669,9,2,3,64,2,3,4,9619.0,13596,1.0,16,3,4,0.0,9.0,3.0,3,9.0,8.0,4.0,7.0,1068.7777777777778,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1.0,0.4444444444444444,115428.0,209.1086956521739,12
40,0,530,1,4,3,78,2,4,2,13503.0,14115,1.0,22,4,4,1.0,22.0,3.0,2,22.0,3.0,11.0,11.0,613.7727272727273,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1.0,0.5,162036.0,337.575,4
